company_id,year,broad_sector,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,fcf_yield_pct,sector_median_pe,valuation_flag
ICICIBANK,2024,Financials,25.76,6.2,38.28,3.43,0.9510909711578005,34.24,Fair
LICI,2024,Financials,30.67,8.1,12.21,3.77,0.46463827637828564,34.24,Fair
RECLTD,2024,Financials,31.49,4.59,23.95,2.18,-20.40097504287343,34.24,Fair
KOTAKBANK,2024,Financials,32.9,1.15,15.52,1.51,1.5726708758275234,34.24,Fair
JIOFIN,2024,Financials,34.24,9.91,26.41,3.09,-0.048367249011911674,34.24,Fair
PFC,2024,Financials,35.6,6.59,15.67,0.42,-5.031547988302576,34.24,Fair
CANBK,2024,Financials,36.74,12.61,25.23,3.81,2.6783994097851984,34.24,Fair
BAJAJHLDNG,2024,Financials,37.73,9.38,27.47,3.37,0.06702962960133939,34.24,Fair
AXISBANK,2024,Financials,38.14,4.66,16.87,2.32,-1.5340374357196316,34.24,Fair
ICICIGI,2024,Financials,49.0,7.86,36.96,3.46,0.03821387979852416,34.24,Fair
HDFCBANK,2024,Financials,49.42,4.4,22.54,4.33,2.3589765552566413,34.24,Fair
HDFCLIFE,2024,Financials,50.59,11.28,31.63,3.22,-6.151706657367163,34.24,Fair
SBIN,2024,Financials,54.93,2.72,21.53,0.42,0.7563625783740417,34.24,Caution
SHRIRAMFIN,2024,Financials,68.53,7.91,28.82,1.86,-3.608906905151208,34.24,Caution
BAJFINANCE,2024,Financials,69.2,4.11,15.96,0.27,-3.2317922805711454,34.24,Caution
SBILIFE,2024,Financials,69.98,9.48,31.04,1.62,-0.23688132542403253,34.24,Caution
DRREDDY,2024,Healthcare,11.73,10.19,14.56,0.09,0.020845250072724943,47.06,Discount
SUNPHARMA,2024,Healthcare,37.9,6.71,21.41,3.88,0.8489189373413096,47.06,Fair
TORNTPHARM,2024,Healthcare,46.4,6.43,27.93,1.22,0.1660811237632738,47.06,Fair
APOLLOHOSP,2024,Healthcare,47.72,7.68,16.74,3.22,0.0200984200212211,47.06,Fair
CIPLA,2024,Healthcare,59.75,5.93,33.7,0.12,0.26193536813003726,47.06,Fair
DIVISLAB,2024,Healthcare,69.95,12.34,31.81,1.39,0.061423058204904804,47.06,Fair
BEL,2024,Industrials,17.89,9.22,23.14,0.76,-0.09337302073000636,47.155,Discount
BHEL,2024,Industrials,29.8,11.43,21.59,4.04,-0.6875240311683734,47.155,Discount
LT,2024,Industrials,30.8,2.48,16.63,1.26,1.624225556254571,47.155,Discount
SIEMENS,2024,Industrials,33.32,9.25,30.88,3.69,0.09804152402695152,47.155,Fair
HAVELLS,2024,Industrials,45.41,14.08,30.73,2.6,0.013285695877801929,47.155,Fair
ADANIPORTS,2024,Industrials,48.9,2.31,31.76,1.16,1.2211403642233938,47.155,Fair
ADANIENT,2024,Industrials,58.87,10.41,33.01,0.83,-4.499064189327432,47.155,Fair
HAL,2024,Industrials,71.89,3.65,8.76,2.77,0.06861811283803056,47.155,Caution
ABB,2024,Industrials,75.58,4.48,12.63,0.96,0.07127809977975783,47.155,Caution
GRASIM,2024,Industrials,79.35,5.68,15.23,0.98,-7.063967310949983,47.155,Caution
INFY,2024,Information Technology,35.99,8.97,36.7,4.1,1.808627454139422,63.63,Discount
TECHM,2024,Information Technology,57.4,7.43,7.85,0.64,0.16742270363873682,63.63,Fair
HCLTECH,2024,Information Technology,63.63,5.44,31.21,1.99,3.8391317512701186,63.63,Fair
LTIM,2024,Information Technology,64.52,2.38,18.9,4.43,0.13006228662120078,63.63,Fair
TCS,2024,Information Technology,78.69,6.08,29.94,1.62,9.613863669307202,63.63,Fair
SHREECEM,2024,Materials,25.87,1.21,26.58,3.2,0.06115348347250073,55.62,Discount
COALINDIA,2024,Materials,34.27,14.75,25.15,4.38,2.9991751112119767,55.62,Discount
PIDILITIND,2024,Materials,36.12,12.3,5.36,1.01,0.588510137595519,55.62,Discount
TATASTEEL,2024,Materials,48.97,9.23,38.87,1.0,1.6385330523516455,55.62,Fair
AMBUJACEM,2024,Materials,55.62,9.21,27.67,3.1,-0.25713841204302407,55.62,Fair
HINDALCO,2024,Materials,56.45,9.32,27.63,0.98,1.355289512628809,55.62,Fair
JSWSTEEL,2024,Materials,69.27,4.37,35.49,2.94,-0.09143985264473488,55.62,Fair
ASIANPAINT,2024,Materials,73.37,3.9,23.94,2.42,0.16720543083991699,55.62,Fair
JINDALSTEL,2024,Materials,77.64,5.73,20.22,1.9,-0.5890244225007633,55.62,Fair
DLF,2024,Real Estate,46.26,14.32,10.41,2.58,0.07309772065891328,49.105000000000004,Fair
LODHA,2024,Real Estate,51.95,7.65,34.33,4.05,-0.03595279056427525,49.105000000000004,Fair
