source_id,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow,period_kind
100,ADANIENT,2018-03,2942.0,-7649.0,5120.0,413.0,fiscal
101,ADANIENT,2019-03,3236.0,2487.0,-6158.0,-436.0,fiscal
102,ADANIENT,2020-03,2454.0,-1082.0,-221.0,1151.0,fiscal
103,ADANIENT,2021-03,4043.0,-8611.0,3109.0,-1459.0,fiscal
104,ADANIENT,2022-03,1385.0,-17041.0,15901.0,246.0,fiscal
105,ADANIENT,2023-03,17626.0,-15459.0,-1198.0,970.0,fiscal
106,ADANIENT,2024-03,10312.0,-18767.0,8879.0,424.0,fiscal
107,ADANIGREEN,2017-03,28.0,-1511.0,1559.0,76.0,fiscal
108,ADANIGREEN,2018-03,649.0,-4428.0,3942.0,162.0,fiscal
109,ADANIGREEN,2019-03,1625.0,-2666.0,1045.0,3.0,fiscal
110,ADANIGREEN,2020-03,1965.0,-3743.0,2161.0,383.0,fiscal
111,ADANIGREEN,2021-03,1601.0,-9137.0,7083.0,-453.0,fiscal
112,ADANIGREEN,2022-03,3127.0,-18730.0,15986.0,383.0,fiscal
113,ADANIGREEN,2023-03,7265.0,-3857.0,-2973.0,435.0,fiscal
114,ADANIGREEN,2024-03,7713.0,-21060.0,13953.0,606.0,fiscal
115,ADANIPORTS,2013-03,1379.0,-5136.0,4138.0,381.0,fiscal
116,ADANIPORTS,2014-03,1132.0,-2510.0,772.0,-606.0,fiscal
117,ADANIPORTS,2015-03,3057.0,-2485.0,-237.0,335.0,fiscal
118,ADANIPORTS,2016-03,2381.0,-4153.0,2170.0,398.0,fiscal
119,ADANIPORTS,2017-03,4063.0,-2629.0,-1325.0,109.0,fiscal
120,ADANIPORTS,2018-03,5608.0,-3846.0,-1889.0,-127.0,fiscal
121,ADANIPORTS,2019-03,6029.0,-4368.0,2313.0,3975.0,fiscal
122,ADANIPORTS,2020-03,7402.0,-749.0,-4256.0,2397.0,fiscal
123,ADANIPORTS,2021-03,7556.0,-14064.0,3514.0,-2994.0,fiscal
124,ADANIPORTS,2022-03,10420.0,-5493.0,-586.0,4341.0,fiscal
125,ADANIPORTS,2023-03,11900.0,-16716.0,-2734.0,-7550.0,fiscal
126,ADANIPORTS,2024-03,15018.0,-6768.0,-7800.0,450.0,fiscal
127,ADANIPOWER,2013-03,3001.0,-4064.0,861.0,-203.0,fiscal
128,ADANIPOWER,2014-03,3238.0,-4700.0,1631.0,169.0,fiscal
129,ADANIPOWER,2015-03,5824.0,-4737.0,-1144.0,-58.0,fiscal
130,ADANIPOWER,2016-03,5257.0,-2692.0,-2713.0,-148.0,fiscal
131,ADANIPOWER,2017-03,4725.0,-1212.0,-3539.0,-26.0,fiscal
132,ADANIPOWER,2018-03,5101.0,-520.0,-4600.0,-19.0,fiscal
133,ADANIPOWER,2019-03,5610.0,-984.0,-4663.0,-37.0,fiscal
134,ADANIPOWER,2020-03,5598.0,-2304.0,-2377.0,917.0,fiscal
135,ADANIPOWER,2021-03,7014.0,-2188.0,-5655.0,-828.0,fiscal
136,ADANIPOWER,2022-03,10233.0,774.0,-10338.0,669.0,fiscal
137,ADANIPOWER,2023-03,8431.0,1545.0,-10408.0,-433.0,fiscal
138,ADANIPOWER,2024-03,14170.0,3481.0,-16864.0,787.0,fiscal
139,AMBUJACEM,2012-12,1860.0,-388.0,-509.0,962.0,fiscal
140,AMBUJACEM,2013-12,1267.0,-496.0,-672.0,99.0,fiscal
141,AMBUJACEM,2014-12,1675.0,-456.0,-721.0,498.0,fiscal
142,AMBUJACEM,2015-12,1557.0,-83.0,-900.0,574.0,fiscal
143,AMBUJACEM,2016-12,2810.0,-4165.0,-958.0,-2312.0,fiscal
144,AMBUJACEM,2017-12,3416.0,-738.0,-1015.0,1663.0,fiscal
145,AMBUJACEM,2018-12,1703.0,-765.0,-719.0,220.0,fiscal
146,AMBUJACEM,2019-12,4739.0,-1191.0,-629.0,2919.0,fiscal
147,AMBUJACEM,2020-12,4832.0,-1317.0,-3956.0,-441.0,fiscal
148,AMBUJACEM,2021-12,5309.0,-2007.0,-516.0,2786.0,fiscal
149,AMBUJACEM,2023-03,735.0,-14481.0,2931.0,-10815.0,fiscal
150,AMBUJACEM,2024-03,5646.0,-8941.0,5689.0,2394.0,fiscal
151,APOLLOHOSP,2013-03,443.0,-733.0,373.0,83.0,fiscal
152,APOLLOHOSP,2014-03,373.0,-356.0,-63.0,-46.0,fiscal
153,APOLLOHOSP,2015-03,470.0,-759.0,392.0,103.0,fiscal
154,APOLLOHOSP,2016-03,597.0,-888.0,330.0,39.0,fiscal
155,APOLLOHOSP,2017-03,623.0,-1152.0,477.0,-52.0,fiscal
156,APOLLOHOSP,2018-03,537.0,-405.0,-108.0,24.0,fiscal
157,APOLLOHOSP,2019-03,905.0,-711.0,-215.0,-20.0,fiscal
158,APOLLOHOSP,2020-03,1293.0,-289.0,-910.0,94.0,fiscal
159,APOLLOHOSP,2021-03,1265.0,-880.0,-340.0,44.0,fiscal
160,APOLLOHOSP,2022-03,1696.0,-747.0,-792.0,158.0,fiscal
161,APOLLOHOSP,2023-03,1377.0,-857.0,-633.0,-113.0,fiscal
162,APOLLOHOSP,2024-03,1920.0,-1537.0,-311.0,72.0,fiscal
163,ASIANPAINT,2013-03,1187.0,-463.0,-601.0,123.0,fiscal
164,ASIANPAINT,2014-03,1402.0,-586.0,-626.0,190.0,fiscal
165,ASIANPAINT,2015-03,1188.0,-465.0,-576.0,147.0,fiscal
166,ASIANPAINT,2016-03,2243.0,-866.0,-849.0,528.0,fiscal
167,ASIANPAINT,2017-03,1527.0,-681.0,-756.0,90.0,fiscal
168,ASIANPAINT,2018-03,2113.0,-1556.0,-1379.0,-822.0,fiscal
169,ASIANPAINT,2019-03,2470.0,-918.0,-1117.0,434.0,fiscal
170,ASIANPAINT,2020-03,3038.0,-518.0,-2871.0,-351.0,fiscal
171,ASIANPAINT,2021-03,3683.0,-541.0,-650.0,2492.0,fiscal
172,ASIANPAINT,2022-03,986.0,-317.0,-1808.0,-1138.0,fiscal
173,ASIANPAINT,2023-03,4193.0,-1282.0,-2140.0,771.0,fiscal
174,ASIANPAINT,2024-03,6104.0,-2548.0,-2982.0,573.0,fiscal
196,AXISBANK,2013-03,2573.0,-10939.0,14931.0,6566.0,fiscal
197,AXISBANK,2014-03,14464.0,-14166.0,7785.0,8082.0,fiscal
198,AXISBANK,2015-03,-15162.0,-7972.0,31045.0,7910.0,fiscal
199,AXISBANK,2016-03,-34495.0,9211.0,22495.0,-2789.0,fiscal
200,AXISBANK,2017-03,32209.0,-12458.0,-2487.0,17263.0,fiscal
201,AXISBANK,2018-03,-38390.0,-10007.0,41342.0,-7055.0,fiscal
202,AXISBANK,2019-03,37125.0,-18674.0,5643.0,24094.0,fiscal
203,AXISBANK,2020-03,30416.0,-9485.0,8865.0,29795.0,fiscal
204,AXISBANK,2021-03,12633.0,-54288.0,7279.0,-34375.0,fiscal
205,AXISBANK,2022-03,28137.0,-27112.0,47894.0,48919.0,fiscal
206,AXISBANK,2023-03,22075.0,-32351.0,6641.0,-3636.0,fiscal
207,AXISBANK,2024-03,-5555.0,-9001.0,22341.0,7785.0,fiscal
220,BAJAJ-AUTO,2013-03,2218.0,-1394.0,-1445.0,-621.0,fiscal
221,BAJAJ-AUTO,2014-03,3502.0,-2072.0,-1496.0,-66.0,fiscal
222,BAJAJ-AUTO,2015-03,2114.0,-380.0,-1644.0,90.0,fiscal
223,BAJAJ-AUTO,2016-03,3690.0,-68.0,-3384.0,238.0,fiscal
224,BAJAJ-AUTO,2017-03,3267.0,-3610.0,-190.0,-532.0,fiscal
225,BAJAJ-AUTO,2018-03,4328.0,-1954.0,-1885.0,488.0,fiscal
226,BAJAJ-AUTO,2019-03,2487.0,-273.0,-2074.0,140.0,fiscal
227,BAJAJ-AUTO,2020-03,3850.0,1766.0,-6247.0,-630.0,fiscal
228,BAJAJ-AUTO,2021-03,3120.0,-2869.0,-20.0,231.0,fiscal
229,BAJAJ-AUTO,2022-03,4197.0,276.0,-4056.0,417.0,fiscal
230,BAJAJ-AUTO,2023-03,5277.0,1211.0,-7181.0,-692.0,fiscal
231,BAJAJ-AUTO,2024-03,6558.0,-72.0,-6167.0,319.0,fiscal
232,BAJAJFINSV,2013-03,-6922.0,2953.0,4592.0,623.0,fiscal
233,BAJAJFINSV,2014-03,-9807.0,3764.0,6521.0,478.0,fiscal
234,BAJAJFINSV,2015-03,-10731.0,3709.0,6839.0,-183.0,fiscal
235,BAJAJFINSV,2016-03,-9795.0,-886.0,11602.0,921.0,fiscal
236,BAJAJFINSV,2017-03,-10922.0,151.0,12513.0,1742.0,fiscal
237,BAJAJFINSV,2018-03,-19580.0,-922.0,19590.0,-911.0,fiscal
238,BAJAJFINSV,2019-03,-27076.0,-6903.0,34535.0,555.0,fiscal
239,BAJAJFINSV,2020-03,-23369.0,-9948.0,34479.0,1162.0,fiscal
240,BAJAJFINSV,2021-03,4547.0,-3684.0,1687.0,2551.0,fiscal
241,BAJAJFINSV,2022-03,-33670.0,1445.0,32326.0,101.0,fiscal
242,BAJAJFINSV,2023-03,-39480.0,-13945.0,51016.0,-2409.0,fiscal
243,BAJAJFINSV,2024-03,-68674.0,-10960.0,82709.0,3075.0,fiscal
244,BAJAJHLDNG,2013-03,473.0,-369.0,-332.0,-228.0,fiscal
245,BAJAJHLDNG,2014-03,872.0,-519.0,-326.0,27.0,fiscal
246,BAJAJHLDNG,2015-03,796.0,-464.0,-391.0,-59.0,fiscal
247,BAJAJHLDNG,2016-03,1147.0,1019.0,-761.0,1406.0,fiscal
248,BAJAJHLDNG,2017-03,-923.0,-372.0,-110.0,-1406.0,fiscal
249,BAJAJHLDNG,2018-03,1631.0,-1123.0,-434.0,74.0,fiscal
250,BAJAJHLDNG,2019-03,628.0,-163.0,-536.0,-72.0,fiscal
251,BAJAJHLDNG,2020-03,1920.0,-800.0,-1028.0,92.0,fiscal
252,BAJAJHLDNG,2021-03,272.0,-308.0,-37.0,-73.0,fiscal
253,BAJAJHLDNG,2022-03,1610.0,-151.0,-1460.0,-1.0,fiscal
254,BAJAJHLDNG,2023-03,1728.0,-137.0,-1587.0,4.0,fiscal
255,BAJAJHLDNG,2024-03,1941.0,-472.0,-1455.0,14.0,fiscal
256,BAJFINANCE,2015-03,-7064.0,-360.0,6867.0,-557.0,fiscal
257,BAJFINANCE,2016-03,-9870.0,-687.0,11656.0,1100.0,fiscal
258,BAJFINANCE,2017-03,-10439.0,-3047.0,12513.0,-972.0,fiscal
259,BAJFINANCE,2018-03,-20566.0,1075.0,19503.0,13.0,fiscal
260,BAJFINANCE,2019-03,-29062.0,-5379.0,34449.0,9.0,fiscal
261,BAJFINANCE,2020-03,-24412.0,-8758.0,34167.0,998.0,fiscal
262,BAJFINANCE,2021-03,-807.0,-429.0,1741.0,505.0,fiscal
263,BAJFINANCE,2022-03,-37090.0,6347.0,32275.0,1532.0,fiscal
264,BAJFINANCE,2023-03,-42112.0,-10394.0,50675.0,-1831.0,fiscal
265,BAJFINANCE,2024-03,-72760.0,-7171.0,82415.0,2484.0,fiscal
266,BANKBARODA,2013-03,23196.0,-514.0,-790.0,21892.0,fiscal
267,BANKBARODA,2014-03,42233.0,-730.0,5151.0,46654.0,fiscal
268,BANKBARODA,2015-03,17838.0,-556.0,-6.0,17276.0,fiscal
269,BANKBARODA,2016-03,-10011.0,-4005.0,-616.0,-14632.0,fiscal
270,BANKBARODA,2017-03,17865.0,-551.0,-198.0,17116.0,fiscal
271,BANKBARODA,2018-03,-59692.0,-414.0,3413.0,-56692.0,fiscal
272,BANKBARODA,2019-03,-1449.0,-2537.0,4449.0,462.0,fiscal
273,BANKBARODA,2020-03,18531.0,-139.0,14729.0,33120.0,fiscal
274,BANKBARODA,2021-03,-887.0,-471.0,-986.0,-2344.0,fiscal
275,BANKBARODA,2022-03,6210.0,-3645.0,-998.0,1567.0,fiscal
276,BANKBARODA,2023-03,-21354.0,-1096.0,-5405.0,-27855.0,fiscal
277,BANKBARODA,2024-03,-6274.0,-1285.0,5476.0,-2084.0,fiscal
278,BEL,2013-03,-1539.0,1753.0,-158.0,56.0,fiscal
279,BEL,2014-03,-569.0,759.0,-213.0,-23.0,fiscal
280,BEL,2015-03,1434.0,-839.0,-209.0,386.0,fiscal
281,BEL,2016-03,2260.0,-1470.0,-318.0,472.0,fiscal
282,BEL,2017-03,-61.0,3115.0,-2857.0,197.0,fiscal
283,BEL,2018-03,-687.0,-6.0,-1202.0,-1895.0,fiscal
284,BEL,2019-03,1514.0,-896.0,-663.0,-45.0,fiscal
285,BEL,2020-03,2570.0,-649.0,-1061.0,861.0,fiscal
286,BEL,2021-03,5093.0,-2595.0,-1076.0,1422.0,fiscal
287,BEL,2022-03,4207.0,-4872.0,-1078.0,-1742.0,fiscal
288,BEL,2023-03,1199.0,2708.0,-1262.0,2645.0,fiscal
289,BEL,2024-03,4659.0,-5924.0,-1475.0,-2739.0,fiscal
290,BHARTIARTL,2013-03,22608.0,-18676.0,-4566.0,-634.0,fiscal
291,BHARTIARTL,2014-03,26233.0,-25181.0,2774.0,3826.0,fiscal
292,BHARTIARTL,2015-03,28059.0,-22301.0,-9672.0,-3914.0,fiscal
293,BHARTIARTL,2016-03,27942.0,-14091.0,-11946.0,1905.0,fiscal
294,BHARTIARTL,2017-03,28280.0,-30680.0,-351.0,-2752.0,fiscal
295,BHARTIARTL,2018-03,29854.0,-27940.0,1920.0,3835.0,fiscal
296,BHARTIARTL,2019-03,20070.0,-28286.0,9464.0,1248.0,fiscal
297,BHARTIARTL,2020-03,18129.0,-29598.0,19144.0,7675.0,fiscal
298,BHARTIARTL,2021-03,48205.0,-27286.0,-24910.0,-3991.0,fiscal
299,BHARTIARTL,2022-03,55017.0,-41478.0,-15203.0,-1664.0,fiscal
300,BHARTIARTL,2023-03,65325.0,-39232.0,-24470.0,1623.0,fiscal
301,BHARTIARTL,2024-03,78898.0,-51089.0,-27778.0,31.0,fiscal
302,BHEL,2013-03,1759.0,-1113.0,472.0,1118.0,fiscal
303,BHEL,2014-03,4512.0,-868.0,523.0,4167.0,fiscal
304,BHEL,2015-03,821.0,650.0,-3543.0,-2071.0,fiscal
305,BHEL,2016-03,374.0,23.0,-122.0,275.0,fiscal
306,BHEL,2017-03,560.0,-565.0,-468.0,-473.0,fiscal
307,BHEL,2018-03,989.0,961.0,-667.0,1283.0,fiscal
308,BHEL,2019-03,-3860.0,1919.0,-32.0,-1973.0,fiscal
309,BHEL,2020-03,-2892.0,1877.0,1622.0,608.0,fiscal
310,BHEL,2021-03,560.0,-42.0,-394.0,123.0,fiscal
311,BHEL,2022-03,660.0,-1118.0,-329.0,-787.0,fiscal
312,BHEL,2023-03,-741.0,1480.0,89.0,829.0,fiscal
313,BHEL,2024-03,-3713.0,1331.0,2656.0,274.0,fiscal
314,BOSCHLTD,2012-12,871.0,-824.0,-156.0,-108.0,fiscal
315,BOSCHLTD,2013-12,1057.0,-846.0,-238.0,-27.0,fiscal
316,BOSCHLTD,2015-03,1396.0,-1183.0,-237.0,-24.0,fiscal
317,BOSCHLTD,2016-03,1318.0,-995.0,-356.0,-33.0,fiscal
318,BOSCHLTD,2017-03,1457.0,1246.0,-2670.0,33.0,fiscal
319,BOSCHLTD,2018-03,1729.0,-1170.0,-325.0,234.0,fiscal
320,BOSCHLTD,2019-03,593.0,1766.0,-2531.0,-172.0,fiscal
321,BOSCHLTD,2020-03,1336.0,-873.0,-399.0,64.0,fiscal
322,BOSCHLTD,2021-03,835.0,-463.0,-338.0,34.0,fiscal
323,BOSCHLTD,2022-03,271.0,-33.0,-383.0,-146.0,fiscal
324,BOSCHLTD,2023-03,1214.0,262.0,-1239.0,236.0,fiscal
325,BOSCHLTD,2024-03,1253.0,283.0,-1452.0,84.0,fiscal
326,BPCL,2013-03,5926.0,-3604.0,-846.0,1476.0,fiscal
327,BPCL,2014-03,9588.0,-6881.0,-3736.0,-1029.0,fiscal
328,BPCL,2015-03,20742.0,-10536.0,-9792.0,414.0,fiscal
329,BPCL,2016-03,11119.0,-9233.0,-1332.0,555.0,fiscal
330,BPCL,2017-03,9041.0,-15274.0,4804.0,-1429.0,fiscal
331,BPCL,2018-03,11068.0,-7066.0,-4218.0,-215.0,fiscal
332,BPCL,2019-03,10157.0,-10451.0,207.0,-87.0,fiscal
333,BPCL,2020-03,7881.0,-11135.0,3583.0,329.0,fiscal
334,BPCL,2021-03,23455.0,-2474.0,-13981.0,7000.0,fiscal
335,BPCL,2022-03,20336.0,-8138.0,-17672.0,-5474.0,fiscal
336,BPCL,2023-03,12466.0,-7806.0,-4402.0,257.0,fiscal
337,BPCL,2024-03,35936.0,-10521.0,-25427.0,-12.0,fiscal
338,BRITANNIA,2013-03,320.0,28.0,-378.0,-30.0,fiscal
339,BRITANNIA,2014-03,671.0,-246.0,-357.0,68.0,fiscal
340,BRITANNIA,2015-03,584.0,-450.0,-181.0,-47.0,fiscal
341,BRITANNIA,2016-03,959.0,-705.0,-246.0,8.0,fiscal
342,BRITANNIA,2017-03,441.0,-150.0,-295.0,-4.0,fiscal
343,BRITANNIA,2018-03,1249.0,-957.0,-232.0,60.0,fiscal
344,BRITANNIA,2019-03,1156.0,-852.0,-353.0,-49.0,fiscal
345,BRITANNIA,2020-03,1485.0,-1526.0,58.0,17.0,fiscal
346,BRITANNIA,2021-03,1876.0,433.0,-2242.0,66.0,fiscal
347,BRITANNIA,2022-03,1300.0,914.0,-2246.0,-32.0,fiscal
348,BRITANNIA,2023-03,2526.0,-1507.0,-1028.0,-9.0,fiscal
349,BRITANNIA,2024-03,2573.0,477.0,-2830.0,219.0,fiscal
350,CANBK,2013-03,8010.0,-435.0,-1043.0,6532.0,fiscal
351,CANBK,2014-03,14244.0,-380.0,-3771.0,10092.0,fiscal
352,CANBK,2015-03,6344.0,-1104.0,-1464.0,3776.0,fiscal
353,CANBK,2016-03,9346.0,-443.0,-806.0,8096.0,fiscal
354,CANBK,2017-03,2575.0,-476.0,124.0,2224.0,fiscal
355,CANBK,2018-03,-11120.0,-487.0,2865.0,-8743.0,fiscal
356,CANBK,2019-03,18237.0,-745.0,-1185.0,16307.0,fiscal
357,CANBK,2020-03,-5289.0,-445.0,7792.0,2059.0,fiscal
358,CANBK,2021-03,59118.0,-1116.0,290.0,58291.0,fiscal
359,CANBK,2022-03,919.0,-1429.0,4035.0,3525.0,fiscal
360,CANBK,2023-03,-39978.0,-1156.0,445.0,-40689.0,fiscal
361,CANBK,2024-03,15046.0,-1750.0,-3834.0,9462.0,fiscal
362,CHOLAFIN,2013-03,-3754.0,5.0,4067.0,317.0,fiscal
363,CHOLAFIN,2014-03,-2447.0,-83.0,2749.0,219.0,fiscal
364,CHOLAFIN,2015-03,-2264.0,-40.0,1819.0,-485.0,fiscal
365,CHOLAFIN,2016-03,-2809.0,-137.0,3031.0,85.0,fiscal
366,CHOLAFIN,2017-03,-1468.0,-222.0,1692.0,2.0,fiscal
367,CHOLAFIN,2018-03,-7926.0,-60.0,8009.0,22.0,fiscal
368,CHOLAFIN,2019-03,-9317.0,-11.0,12191.0,2862.0,fiscal
369,CHOLAFIN,2020-03,-2075.0,-54.0,2452.0,323.0,fiscal
370,CHOLAFIN,2021-03,-8848.0,-1746.0,8707.0,-1888.0,fiscal
371,CHOLAFIN,2022-03,-5571.0,1640.0,5150.0,1218.0,fiscal
372,CHOLAFIN,2023-03,-27105.0,-2148.0,27466.0,-1787.0,fiscal
373,CHOLAFIN,2024-03,-35683.0,-2855.0,38471.0,-66.0,fiscal
374,CIPLA,2013-03,1398.0,-2063.0,718.0,53.0,fiscal
375,CIPLA,2014-03,1563.0,-1265.0,-266.0,33.0,fiscal
376,CIPLA,2015-03,1173.0,-950.0,165.0,388.0,fiscal
377,CIPLA,2016-03,1741.0,-4533.0,3104.0,312.0,fiscal
378,CIPLA,2017-03,2382.0,-1304.0,-1326.0,-248.0,fiscal
379,CIPLA,2018-03,1463.0,-834.0,-385.0,243.0,fiscal
380,CIPLA,2019-03,1691.0,-1688.0,-349.0,-345.0,fiscal
381,CIPLA,2020-03,3068.0,114.0,-2949.0,234.0,fiscal
382,CIPLA,2021-03,3755.0,-2374.0,-1240.0,141.0,fiscal
383,CIPLA,2022-03,3326.0,-1858.0,-1600.0,-132.0,fiscal
384,CIPLA,2023-03,3238.0,-2376.0,-958.0,-97.0,fiscal
385,CIPLA,2024-03,4134.0,-2982.0,-1200.0,-49.0,fiscal
386,COALINDIA,2013-03,9109.0,-1833.0,-7852.0,-575.0,fiscal
387,COALINDIA,2014-03,14525.0,8580.0,-25350.0,-2246.0,fiscal
388,COALINDIA,2015-03,14382.0,894.0,-15026.0,250.0,fiscal
389,COALINDIA,2016-03,13154.0,8154.0,-19587.0,1721.0,fiscal
390,COALINDIA,2017-03,16461.0,455.0,-17598.0,-682.0,fiscal
391,COALINDIA,2018-03,21115.0,-7747.0,-13564.0,-196.0,fiscal
392,COALINDIA,2019-03,16356.0,-7896.0,-10885.0,-2426.0,fiscal
393,COALINDIA,2020-03,4977.0,1033.0,-4791.0,1219.0,fiscal
394,COALINDIA,2021-03,10592.0,182.0,-8453.0,2321.0,fiscal
395,COALINDIA,2022-03,41107.0,-25715.0,-13441.0,1951.0,fiscal
396,COALINDIA,2023-03,35734.0,-23465.0,-13704.0,-1436.0,fiscal
397,COALINDIA,2024-03,18103.0,-4486.0,-13899.0,-282.0,fiscal
398,DABUR,2013-03,870.0,-622.0,-234.0,13.0,fiscal
399,DABUR,2014-03,1098.0,-104.0,-804.0,190.0,fiscal
400,DABUR,2015-03,1047.0,-876.0,-417.0,-245.0,fiscal
401,DABUR,2016-03,1187.0,-730.0,-374.0,82.0,fiscal
402,DABUR,2017-03,1227.0,-807.0,-339.0,81.0,fiscal
403,DABUR,2018-03,1092.0,-541.0,-577.0,-27.0,fiscal
404,DABUR,2019-03,1499.0,338.0,-1888.0,-51.0,fiscal
405,DABUR,2020-03,1614.0,-517.0,-1043.0,54.0,fiscal
406,DABUR,2021-03,2115.0,-1404.0,-613.0,97.0,fiscal
407,DABUR,2022-03,1802.0,-1273.0,-490.0,38.0,fiscal
408,DABUR,2023-03,1488.0,-583.0,-1035.0,-130.0,fiscal
409,DABUR,2024-03,2013.0,-971.0,-1161.0,-119.0,fiscal
410,DIVISLAB,2013-03,480.0,-255.0,-231.0,-5.0,fiscal
411,DIVISLAB,2014-03,557.0,-305.0,-248.0,3.0,fiscal
412,DIVISLAB,2015-03,826.0,-521.0,-303.0,3.0,fiscal
413,DIVISLAB,2016-03,1038.0,-406.0,-631.0,0.0,fiscal
414,DIVISLAB,2017-03,1150.0,-1140.0,2.0,13.0,fiscal
415,DIVISLAB,2018-03,776.0,-478.0,-314.0,-17.0,fiscal
416,DIVISLAB,2019-03,954.0,-685.0,-246.0,23.0,fiscal
417,DIVISLAB,2020-03,1216.0,-83.0,-1091.0,41.0,fiscal
418,DIVISLAB,2021-03,1947.0,75.0,-35.0,1987.0,fiscal
419,DIVISLAB,2022-03,1912.0,-2195.0,-532.0,-816.0,fiscal
420,DIVISLAB,2023-03,2459.0,-2707.0,-797.0,-1045.0,fiscal
421,DIVISLAB,2024-03,1261.0,-269.0,-799.0,193.0,fiscal
422,DLF,2013-03,2009.0,1995.0,-3951.0,52.0,fiscal
423,DLF,2014-03,1468.0,3924.0,-4532.0,860.0,fiscal
424,DLF,2015-03,2037.0,98.0,-1547.0,588.0,fiscal
425,DLF,2016-03,2957.0,-818.0,-1929.0,210.0,fiscal
426,DLF,2017-03,-898.0,872.0,787.0,761.0,fiscal
427,DLF,2018-03,270.0,-2102.0,-232.0,-2064.0,fiscal
428,DLF,2019-03,2043.0,3.0,875.0,2921.0,fiscal
429,DLF,2020-03,356.0,6508.0,-9522.0,-2658.0,fiscal
430,DLF,2021-03,1460.0,150.0,-2184.0,-573.0,fiscal
431,DLF,2022-03,2832.0,267.0,-3828.0,-729.0,fiscal
432,DLF,2023-03,2375.0,-461.0,-2013.0,-98.0,fiscal
433,DLF,2024-03,2539.0,-1529.0,177.0,1186.0,fiscal
434,DMART,2013-03,127.0,-231.0,118.0,14.0,fiscal
435,DMART,2014-03,198.0,-270.0,65.0,-7.0,fiscal
436,DMART,2015-03,222.0,-474.0,234.0,-17.0,fiscal
437,DMART,2016-03,433.0,-633.0,196.0,-3.0,fiscal
438,DMART,2017-03,455.0,-2482.0,2025.0,-1.0,fiscal
439,DMART,2018-03,730.0,464.0,-1159.0,34.0,fiscal
440,DMART,2019-03,807.0,-958.0,209.0,57.0,fiscal
441,DMART,2020-03,1280.0,-4657.0,3357.0,-19.0,fiscal
442,DMART,2021-03,1375.0,-1110.0,-180.0,86.0,fiscal
443,DMART,2022-03,1372.0,-1289.0,-179.0,-96.0,fiscal
444,DMART,2023-03,2630.0,-2313.0,-205.0,112.0,fiscal
445,DMART,2024-03,2746.0,-2468.0,-148.0,130.0,fiscal
446,DRREDDY,2013-03,1378.0,-1437.0,-157.0,-216.0,fiscal
447,DRREDDY,2014-03,1970.0,-1604.0,-24.0,342.0,fiscal
448,DRREDDY,2015-03,2524.0,-2370.0,-433.0,-280.0,fiscal
449,DRREDDY,2016-03,3263.0,-1610.0,-1700.0,-47.0,fiscal
450,DRREDDY,2017-03,2144.0,-1890.0,-369.0,-114.0,fiscal
451,DRREDDY,2018-03,1803.0,-1483.0,-444.0,-124.0,fiscal
452,DRREDDY,2019-03,2870.0,-769.0,-2133.0,-31.0,fiscal
453,DRREDDY,2020-03,2984.0,-495.0,-2516.0,-27.0,fiscal
